City,Country,GitHub,Email,Meetup
Buenos Aires,Argentina,https://github.com/rladies/meetup-presentations_buenosaires,buenosaires@rladies.org,https://www.meetup.com/rladies-buenos-aires/
Córdoba,Argentina,https://github.com/rladies/meetup-presentations_cordoba,cordoba@rladies.org,https://www.meetup.com/rladies-cordoba/
Santa Rosa,Argentina,https://github.com/rladies/meetup-presentations_santarosa,santarosa@rladies.org,https://www.meetup.com/rladies-santa-rosa/
Mendoza,Argentina,https://github.com/rladies/meetup-presentations_mendoza,mendoza@rladies.org,https://www.meetup.com/rladies-mendoza/
Santa Fe,Argentina,https://github.com/rladies/meetup-presentations_santafe,santafe@rladies.org,https://www.meetup.com/rladies-santa-fe/
Ushuaia,Argentina,https://github.com/rladies/meetup-presentations_ushuaia,ushuaia@rladies.org,https://www.meetup.com/rladies-ushuaia/
Adelaide,Australia,https://github.com/rladies/meetup-presentations_adelaide,adelaide@rladies.org,https://www.meetup.com/rladies-adelaide/
Melbourne,Australia,https://github.com/rladies/meetup-presentations_melbourne,melbourne@rladies.org,https://www.meetup.com/rladies-melbourne/
Sydney,Australia,https://github.com/rladiessydney,sydney@rladies.org,https://www.meetup.com/rladies-sydney/
Brisbane,Australia,https://github.com/rladies/meetup-presentations_brisbane,brisbane@rladies.org,https://www.meetup.com/rladies-brisbane/
Linz,Austria,https://github.com/rladies/meetup-presentations_linz,linz@rladies.org,https://www.meetup.com/rladies-linz/
Brussels,Belgium,https://github.com/rladies/meetup-presentations_brussels,brussels@rladies.org,https://www.meetup.com/rladies-brussels/
Leuven,Belgium,https://github.com/rladies/meetup-presentations_leuven,leuven@rladies.org,https://www.meetup.com/rladies-leuven/
Vitória,Brazil,https://github.com/rladies/meetup-presentations_vitoria,vitoria@rladies.org,https://www.meetup.com/rladies-vitória/
Belo Horizonte,Brazil,https://github.com/rladies/meetup-presentations_belohorizonte,belohorizonte@rladies.org,https://www.meetup.com/rladies-belo-horizonte/
Curitiba,Brazil,https://github.com/rladies/meetup-presentations_curitiba,curitiba@rladies.org,https://www.meetup.com/rladies-curitiba/
Recife,Brazil,https://github.com/rladies/meetup-presentations_recife,recife@rladies.org,https://www.meetup.com/rladies-recife/
Rio de Janeiro,Brazil,https://github.com/rladies/meetup-presentations_rio,rio@rladies.org,https://www.meetup.com/rladies-rio/
Natal,Brazil,https://github.com/rladies/meetup-presentations_natal,natal@rladies.org,https://www.meetup.com/rladies-natal/
São Paulo,Brazil,https://github.com/rladies/meetup-presentations_sao-paulo,saopaulo@rladies.org,https://www.meetup.com/rladies-sao-paulo/
Vancouver,Canada,https://github.com/rladies/meetup-presentations_vancouver,vancouver@rladies.org,https://www.meetup.com/rladies-vancouver/
Victoria,Canada,https://github.com/RLadiesVicBC,victoriabc@rladies.org,https://www.meetup.com/rladies-victoria/
London,Canada,https://github.com/rladies/meetup-presentations_london_ontario,ldnont@rladies.org,https://www.meetup.com/rladies-ldnont/
Toronto,Canada,https://github.com/rladies/meetup-presentations_toronto,toronto@rladies.org,https://www.meetup.com/rladies-toronto/
Montréal,Canada,https://github.com/rladies/meetup-presentations_montreal,montreal@rladies.org,https://www.meetup.com/rladies-montreal/
Santiago de Chile,Chile,https://github.com/rladies/meetup-presentations_santiago,santiago@rladies.org,https://www.meetup.com/rladies-scl/
San José,Costa Rica,https://github.com/rladies/meetup-presentations_sanjose,sanjoseCR@rladies.org,https://www.meetup.com/rladies-san-jose/
Puerto Ayora,Ecuador,https://github.com/rladies/meetup-presentations_galapagos-islands,galapagos@rladies.org,https://www.meetup.com/rladies-galapagos-islands/
Guayaquil,Ecuador,https://github.com/rladies/meetup-presentations_guayaquil,guayaquil@rladies.org,https://www.meetup.com/rladies-guayaquil/
Quito,Ecuador,https://github.com/rladies/meetup-presentations_quito,quito@rladies.org,https://www.meetup.com/rladies_quito/
Helsinki,Finland,https://github.com/rladies/meetup-presentations_helsinki,helsinki@rladies.org,https://www.meetup.com/rladies-helsinki/
Lyon,France,https://github.com/rladies/meetup-presentations_lyon,lyon@rladies.org,https://www.meetup.com/rladies-lyon/
Paris,France,https://github.com/rladies-paris/,paris@rladies.org,https://www.meetup.com/rladies-paris/
Strasbourg,France,https://github.com/rladies/meetup-presentations_strasbourg,strasbourg@rladies.org,https://www.meetup.com/rladies-strasbourg/
Tbilisi,Georgia,https://github.com/rladies/meetup-presentations_tbilisi,tbilisi@rladies.org,https://www.meetup.com/rladies-tbilisi/
Berlin,Germany,https://github.com/rladies/meetup-presentations_berlin,berlin@rladies.org,https://www.meetup.com/rladies-berlin/
Frankfurt,Germany,https://github.com/rladies/meetup-presentations_frankfurt,frankfurt@rladies.org,https://www.meetup.com/rladies-frankfurt/
Freiburg,Germany,https://github.com/rladies/meetup-presentations_freiburg,freiburg@rladies.org,https://www.meetup.com/rladies-freiburg/
