City,html_url,topic,language
Ames,https://github.com/rladies-ames/WebscrapingTidyverse/tree/f6adc80bde205532f9744dff78a57b8d797aa990,Web scrapping,English
Ames,https://github.com/rladies-ames/git-ladies/tree/ef4535617cae6b4ecea9de2f3520788e2e19d28a,git,English
Ames,https://github.com/rladies-ames/magic-tidying-data/tree/6339454d192592036e0f49d54a3cf9b093c7e765,tidyverse,English
Auckland,https://github.com/rladies/meetup-presentations_auckland/blob/master/2017-12_tidyverse-6-auckland.pdf,tidyverse,English
Auckland,https://github.com/rladies/meetup-presentations_auckland/tree/master/2018-03_Dive_into_dplyr,dplyr,English
Auckland,https://github.com/rladies/meetup-presentations_auckland/tree/master/2018-09_creating_maps,spatial,English
Baltimore,https://github.com/rladies/meetup-presentations_baltimore/blob/master/20190313_tidyverse.md,tidyverse,English
Baltimore,https://github.com/rladies/meetup-presentations_baltimore/blob/master/20190918_rmarkdown_dataviz.Rmd,Data Vizualization,English
Baltimore,https://github.com/rladies/meetup-presentations_baltimore/tree/master/20190918_rmarkdown_slides,rmarkdown,English
Barcelona,https://github.com/rladies/meetup-presentations_barcelona/tree/master/20170115_rmarkdown,rmarkdown,Spanish
Barcelona,https://github.com/rladies/meetup-presentations_barcelona/tree/master/20170320_introtodplyrtidyr,dplyr,Spanish
Berlin,https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-01_Hands_on_datavis_ggplot2,Data Vizualization,English
Berlin,https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-05_DRYprogramming_dplyr,dplyr,English
Berlin,https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-06_R_meets_Journocode_Rmarkdown,rmarkdown,English
Berlin,https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-02_Rprojects-and-Github,git,English
Berlin,https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-07_Dive-dplyr,dplyr,English
Berlin,https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-11_Hands_on_training_Rpackages,Package,English
Berlin,https://github.com/rladies/meetup-presentations_berlin/tree/master/2019-05_Hands-on_blogdown_How_to_create_your_first_blog,blogdown,English
Boston,https://github.com/rladies/meetup-presentations_boston/blob/master/Boston_20170817_tidyeval_ppt.pdf,tidyverse,English
Boston,https://github.com/rladies/meetup-presentations_boston/blob/master/git_and_github_20181023.pdf,git,English
Boston,https://github.com/rladies/meetup-presentations_boston/blob/master/tidyr_ggplot2_short.pdf,tidyverse,English
Brussels,https://github.com/rladies/meetup-presentations_brussels/tree/master/06_API_Webscraping_Workshop_Sep18,Web scrapping,English
Buenosaires,https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2019-06-15-webscrapping-y-datos-meteorologicos,Web scrapping,Spanish
Buenosaires,https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2019-09-14-Git_Rstudio,git,Spanish
Capetown,https://github.com/rladies/meetup-presentations_capetown/tree/master/2018-07-26_MapsWithggmap,spatial,English
