City,Country,Website,Email,Meetup
Sydney,Australia,https://rladiessydney.org/,sydney@rladies.org,https://www.meetup.com/rladies-sydney/
Belo Horizonte,Brazil,http://rladiesbh.com.br/,belohorizonte@rladies.org,https://www.meetup.com/rladies-belo-horizonte/
Addis Ababa,Ethiopia,https://r-ladies-addis.github.io/rladies-addis/,addisababa@rladies.org,https://www.meetup.com/rladies-addis-ababa/
Bucharest,Romania,https://www.rladiesbucharest.org/,bucuresti@rladies.org,https://www.meetup.com/rladies-bucharest/
Colombo,Sri Lanka,https://rladiescolombo.netlify.com/,colombo@rladies.org,https://www.meetup.com/rladies-colombo/
Lausanne,Switzerland,https://rladieslausanne.github.io/,rladieslausanne@gmail.com,https://www.meetup.com/rladies-lausanne/
Cambridge,United Kingdom,http://rladies.org.uk/,cambridge@rladies.org,https://www.meetup.com/rladies-cambridge/
Irvine,USA,http://www.rladiesirvine.org/,irvine@rladies.org,https://www.meetup.com/rladies-irvine/
Boston,USA,https://rladies.github.io/Boston/,boston@rladies.org,https://www.meetup.com/rladies-boston/
East Lansing,USA,https://rladies-eastlansing.github.io,eastlansing@rladies.org,https://www.meetup.com/rladies-east-lansing/
New York City,USA,http://www.rladiesnyc.org/,nyc@rladies.org,https://www.meetup.com/rladies-newyork/
Philadelphia,USA,http://www.rladiesphilly.org/,philly@rladies.org,https://www.meetup.com/rladies-philly/
Seattle,USA,https://rladiesseattle.org/,seattle@rladies.org,https://www.meetup.com/rladies-seattle/
