name,path,sha,size,url,html_url,git_url,download_url,type,City,topic
WebscrapingTidyverse,WebscrapingTidyverse,f6adc80bde205532f9744dff78a57b8d797aa990,0,https://api.github.com/repos/rladies/meetup-presentations_ames/contents/WebscrapingTidyverse?ref=master,https://github.com/rladies-ames/WebscrapingTidyverse/tree/f6adc80bde205532f9744dff78a57b8d797aa990,https://api.github.com/repos/rladies-ames/WebscrapingTidyverse/git/trees/f6adc80bde205532f9744dff78a57b8d797aa990,NA,file,Ames,Web scrapping
git ladies,git ladies,ef4535617cae6b4ecea9de2f3520788e2e19d28a,0,https://api.github.com/repos/rladies/meetup-presentations_ames/contents/git-ladies?ref=master,https://github.com/rladies-ames/git-ladies/tree/ef4535617cae6b4ecea9de2f3520788e2e19d28a,https://api.github.com/repos/rladies-ames/git-ladies/git/trees/ef4535617cae6b4ecea9de2f3520788e2e19d28a,NA,file,Ames,git
magic tidying data,magic tidying data,6339454d192592036e0f49d54a3cf9b093c7e765,0,https://api.github.com/repos/rladies/meetup-presentations_ames/contents/magic-tidying-data?ref=master,https://github.com/rladies-ames/magic-tidying-data/tree/6339454d192592036e0f49d54a3cf9b093c7e765,https://api.github.com/repos/rladies-ames/magic-tidying-data/git/trees/6339454d192592036e0f49d54a3cf9b093c7e765,NA,file,Ames,tidyverse
 tidyverse  auckland, tidyverse  auckland,ffa577020fc491b8926b0e4027dfc6eab9733197,3148726,https://api.github.com/repos/rladies/meetup-presentations_auckland/contents/2017-12_tidyverse-6-auckland.pdf?ref=master,https://github.com/rladies/meetup-presentations_auckland/blob/master/2017-12_tidyverse-6-auckland.pdf,https://api.github.com/repos/rladies/meetup-presentations_auckland/git/blobs/ffa577020fc491b8926b0e4027dfc6eab9733197,https://raw.githubusercontent.com/rladies/meetup-presentations_auckland/master/2017-12_tidyverse-6-auckland.pdf,file,Auckland,tidyverse
 Dive into dplyr, Dive into dplyr,413bb3a624eee9976c57a72cebffedb2fc8c7f6e,0,https://api.github.com/repos/rladies/meetup-presentations_auckland/contents/2018-03_Dive_into_dplyr?ref=master,https://github.com/rladies/meetup-presentations_auckland/tree/master/2018-03_Dive_into_dplyr,https://api.github.com/repos/rladies/meetup-presentations_auckland/git/trees/413bb3a624eee9976c57a72cebffedb2fc8c7f6e,NA,dir,Auckland,dplyr
 creating maps, creating maps,6ac16e4a92856ca91b16f4e2ce59ec60635e1996,0,https://api.github.com/repos/rladies/meetup-presentations_auckland/contents/2018-09_creating_maps?ref=master,https://github.com/rladies/meetup-presentations_auckland/tree/master/2018-09_creating_maps,https://api.github.com/repos/rladies/meetup-presentations_auckland/git/trees/6ac16e4a92856ca91b16f4e2ce59ec60635e1996,NA,dir,Auckland,spatial
 tidyverse, tidyverse,956635bf6fc4ca2efc3131e6cdd3284473bd0b48,524,https://api.github.com/repos/rladies/meetup-presentations_baltimore/contents/20190313_tidyverse.md?ref=master,https://github.com/rladies/meetup-presentations_baltimore/blob/master/20190313_tidyverse.md,https://api.github.com/repos/rladies/meetup-presentations_baltimore/git/blobs/956635bf6fc4ca2efc3131e6cdd3284473bd0b48,https://raw.githubusercontent.com/rladies/meetup-presentations_baltimore/master/20190313_tidyverse.md,file,Baltimore,tidyverse
 rmarkdown dataviz, rmarkdown dataviz,12764d759a05987ae56b2608ac3da4ebcd642ac1,4014,https://api.github.com/repos/rladies/meetup-presentations_baltimore/contents/20190918_rmarkdown_dataviz.Rmd?ref=master,https://github.com/rladies/meetup-presentations_baltimore/blob/master/20190918_rmarkdown_dataviz.Rmd,https://api.github.com/repos/rladies/meetup-presentations_baltimore/git/blobs/12764d759a05987ae56b2608ac3da4ebcd642ac1,https://raw.githubusercontent.com/rladies/meetup-presentations_baltimore/master/20190918_rmarkdown_dataviz.Rmd,file,Baltimore,Data Vizualization
 rmarkdown slides, rmarkdown slides,b393bdfdcf12be32016ca0842d5d2e7f23fc9504,0,https://api.github.com/repos/rladies/meetup-presentations_baltimore/contents/20190918_rmarkdown_slides?ref=master,https://github.com/rladies/meetup-presentations_baltimore/tree/master/20190918_rmarkdown_slides,https://api.github.com/repos/rladies/meetup-presentations_baltimore/git/trees/b393bdfdcf12be32016ca0842d5d2e7f23fc9504,NA,dir,Baltimore,rmarkdown
 shiny, shiny,d9b1da70008e63d388e68aae90687ca7ce17913b,751,https://api.github.com/repos/rladies/meetup-presentations_baltimore/contents/20200129_shiny.md?ref=master,https://github.com/rladies/meetup-presentations_baltimore/blob/master/20200129_shiny.md,https://api.github.com/repos/rladies/meetup-presentations_baltimore/git/blobs/d9b1da70008e63d388e68aae90687ca7ce17913b,https://raw.githubusercontent.com/rladies/meetup-presentations_baltimore/master/20200129_shiny.md,file,Baltimore,shiny
