City,tweet
Auckland,Are you ready to master the %>% pipe with Auckland awesome materials on #dplyr? https://github.com/rladies/meetup-presentations_auckland/tree/master/2018-03_Dive_into_dplyr #rladies #iwd2020
Barcelona,"Select %>% mutate %>% arrange %>% filter, master the #dplyr verbs with Barcelona insightful materials! https://github.com/rladies/meetup-presentations_barcelona/tree/master/20170320_introtodplyrtidyr #rladies #iwd2020"
Berlin,Need to prepare a workshop on #dplyr? Browse the splendid Berlin's materials for inspiration! https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-05_DRYprogramming_dplyr #rladies #iwd2020
Berlin,Need to prepare a workshop on #dplyr? Browse the phenomenal Berlin's materials for inspiration! https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-07_Dive-dplyr #rladies #iwd2020
Charlottesville,"Select %>% mutate %>% arrange %>% filter, master the #dplyr verbs with Charlottesville intuitive materials! https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2017-12-05%20Manipulating%20data%20wth%20dplyr.Rmd #rladies #iwd2020"
London,Need to prepare a workshop on #dplyr? Browse the epic London's materials for inspiration! https://github.com/rladies/meetup-presentations_london/tree/master/2018-03_Dive_into_dplyr #rladies #iwd2020
Lyon,Are you taking your first R steps? The #dplyr package will make this journey more fun! Check Lyon's amazing materials! https://github.com/rladies/meetup-presentations_lyon/tree/master/2019_11_dplyr_episode_9_rise_of_the_vctrs #rladies #iwd2020
Montreal,"Select %>% mutate %>% arrange %>% filter, master the #dplyr verbs with Montreal insightful materials! https://github.com/rladies/meetup-presentations_montreal/tree/master/20190117_dplyr #rladies #iwd2020"
Montreal,Master your data science skills with #dplyr ! Check Montreal insightful materials https://github.com/rladies/meetup-presentations_montreal/tree/master/20191121_dplyr-workshop #rladies #iwd2020
Orlando,"Select %>% mutate %>% arrange %>% filter, master the #dplyr verbs with Orlando phenomenal materials! https://github.com/rladies/meetup-presentations_orlando/blob/master/dplyr_2.pdf #rladies #iwd2020"
Orlando,Are you ready to master the %>% pipe with Orlando intuitive materials on #dplyr? https://github.com/rladies/meetup-presentations_orlando/blob/master/dplyr_part1.R #rladies #iwd2020
Rotterdam,Need to prepare a workshop on #dplyr? Browse the epic Rotterdam's materials for inspiration! https://github.com/rladies/meetup-presentations_rotterdam/tree/master/Introduction%20dplyr #rladies #iwd2020
Tbilisi,"Select %>% mutate %>% arrange %>% filter, master the #dplyr verbs with Tbilisi cool materials! https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_12_14_datatypes_dplyr #rladies #iwd2020"
