City,tweet
Barcelona,Learn about the grammar of graphics with #ggplot! Check Barcelona awesome materials! https://github.com/rladies/meetup-presentations_barcelona/tree/master/20170927_ggplot2 #rladies #iwd2020
Berlin,Learn about the grammar of graphics with #ggplot! Check Berlin marvelous materials! https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-01_Hands_on_datavis_ggplot2 #rladies #iwd2020
Columbus,#Datavis is fun with #ggplot! Check Columbus excellent materials for extra fun! https://github.com/rladies/meetup-presentations_columbus/tree/master/20190314_ggplot2Vol2 #rladies #iwd2020
Cordoba,#Datavis is fun with #ggplot! Check Cordoba admirable materials for extra fun! https://github.com/rladies/meetup-presentations_cordoba/tree/master/visualizacion%20de%20datos%20con%20ggplot2 #rladies #iwd2020
Frankfurt,Learn about the grammar of graphics with #ggplot! Check Frankfurt phenomenal materials! https://github.com/rladies/meetup-presentations_frankfurt/tree/master/2019-06-19_meetup03_data-visualization-ggplot2 #rladies #iwd2020
Helsinki,Feeling like learning about #datavis with #ggplot? Helsinki chapter has some splendid materials on it! https://github.com/rladies/meetup-presentations_helsinki/blob/master/ggplot2 #rladies #iwd2020
Irvine,Need to prepare a workshop on #ggplot? Browse the excellent Irvine's materials for inspiration! https://github.com/rladies/meetup-presentations_irvine/tree/master/R-LadiesIrvine_ggplot2_06272018 #rladies #iwd2020
Istanbul,Looking for materials in #ggplot? Check Istanbul's wonderful materials! https://github.com/rladies/meetup-presentations_istanbul/blob/master/20181222_ggplot2.R #rladies #iwd2020
LA,Learn about the grammar of graphics with #ggplot! Check LA marvelous materials! https://github.com/rladies/meetup-presentations_la/tree/master/2017-04-16-ggplot2 #rladies #iwd2020
London_ontario,#Datavis is fun with #ggplot! Check London_ontario magnificent materials for extra fun! https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2018-10-25_ggplot #rladies #iwd2020
Montevideo,Looking for materials in #ggplot? Check Montevideo's amazing materials! https://github.com/rladies/meetup-presentations_montevideo/tree/master/2017-11-15-ggplot2 #rladies #iwd2020
Montreal,#Datavis is fun with #ggplot! Check Montreal outstanding materials for extra fun! https://github.com/rladies/meetup-presentations_montreal/tree/master/20180419_ggplot #rladies #iwd2020
RTP,Need to prepare a workshop on #ggplot? Browse the excellent RTP's materials for inspiration! https://github.com/rladies/meetup-presentations_rtp/tree/master/2016-10-15-data-viz-ggplot2 #rladies #iwd2020
RTP,#Datavis is fun with #ggplot! Check RTP intuitive materials for extra fun! https://github.com/rladies/meetup-presentations_rtp/tree/master/2019-03-06-ggplot2 #rladies #iwd2020
Sarasota,Learn about the grammar of graphics with #ggplot! Check Sarasota incredible materials! https://github.com/rladies/meetup-presentations_sarasota/tree/master/2018_03_26_Data_Viz_ggplot2 #rladies #iwd2020
Stockholm,Feeling like learning about #datavis with #ggplot? Stockholm chapter has some super materials on it! https://github.com/rladies/meetup-presentations_stockholm/blob/master/Ggplot2.zip #rladies #iwd2020
