City,tweet
Ames,Tired of naming your file_verylast_v10? Check Ames awesome materials on #git! https://github.com/rladies-ames/git-ladies/tree/ef4535617cae6b4ecea9de2f3520788e2e19d28a #rladies #iwd2020
Berlin,Tired of naming your file_verylast_v10? Check Berlin splendid materials on #git! https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-02_Rprojects-and-Github #rladies #iwd2020
Boston,Tired of naming your file_verylast_v10? Check Boston excellent materials on #git! https://github.com/rladies/meetup-presentations_boston/blob/master/git_and_github_20181023.pdf #rladies #iwd2020
Buenosaires,Tired of naming your file_verylast_v10? Check Buenosaires incredible materials on #git! https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2019-09-14-Git_Rstudio #rladies #iwd2020
Charlottesville,Dive in the world of git with Charlottesville super materials! https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2018-05-01%20Git%20and%20Github%20with%20R.pptx #rladies #iwd2020
DC,Dive in the world of git with DC phenomenal materials! https://github.com/rladies/meetup-presentations_dc/tree/master/GitHub-Workshop-2018 #rladies #iwd2020
Frankfurt,Tired of naming your file_verylast_v10? Check Frankfurt splendid materials on #git! https://github.com/rladies/meetup-presentations_frankfurt/tree/master/2019-09-12_meetup06_git-github-gitkraken #rladies #iwd2020
Montreal,Embrace version control with #git! Check the outstanding Montreal's materials for encouragement! https://github.com/cldougl/rladies-git-intro/tree/51807f9d8b5e4064ac1730ca03f3618931cbd853 #rladies #iwd2020
Rotterdam,Need to prepare a workshop on #git? Browse the remarkable Rotterdam's materials for inspiration! https://github.com/rladies/meetup-presentations_rotterdam/tree/master/Introduction%20git #rladies #iwd2020
RTP,Embrace version control with #git! Check the cool RTP's materials for encouragement! https://github.com/rladies/meetup-presentations_rtp/tree/master/2017-02-09-rgitgithub #rladies #iwd2020
Tampa,Tired of naming your file_verylast_v10? Check Tampa insightful materials on #git! https://github.com/rladies/meetup-presentations_tampa/blob/master/R%20Ladies%20GitHub%20Presentation.pptx #rladies #iwd2020
