name,path,sha,size,url,html_url,git_url,download_url,type,repo
WebscrapingTidyverse,WebscrapingTidyverse,f6adc80bde205532f9744dff78a57b8d797aa990,0,https://api.github.com/repos/rladies/meetup-presentations_ames/contents/WebscrapingTidyverse?ref=master,https://github.com/rladies-ames/WebscrapingTidyverse/tree/f6adc80bde205532f9744dff78a57b8d797aa990,https://api.github.com/repos/rladies-ames/WebscrapingTidyverse/git/trees/f6adc80bde205532f9744dff78a57b8d797aa990,NA,file,meetup-presentations_ames
git-ladies,git-ladies,ef4535617cae6b4ecea9de2f3520788e2e19d28a,0,https://api.github.com/repos/rladies/meetup-presentations_ames/contents/git-ladies?ref=master,https://github.com/rladies-ames/git-ladies/tree/ef4535617cae6b4ecea9de2f3520788e2e19d28a,https://api.github.com/repos/rladies-ames/git-ladies/git/trees/ef4535617cae6b4ecea9de2f3520788e2e19d28a,NA,file,meetup-presentations_ames
magic-tidying-data,magic-tidying-data,6339454d192592036e0f49d54a3cf9b093c7e765,0,https://api.github.com/repos/rladies/meetup-presentations_ames/contents/magic-tidying-data?ref=master,https://github.com/rladies-ames/magic-tidying-data/tree/6339454d192592036e0f49d54a3cf9b093c7e765,https://api.github.com/repos/rladies-ames/magic-tidying-data/git/trees/6339454d192592036e0f49d54a3cf9b093c7e765,NA,file,meetup-presentations_ames
538-master,538-master,6937078784ee9d99be5521180b42e6c6be4c1228,0,https://api.github.com/repos/rladies/meetup-presentations_athens-ga/contents/538-master?ref=master,https://github.com/rladies/meetup-presentations_athens-ga/tree/master/538-master,https://api.github.com/repos/rladies/meetup-presentations_athens-ga/git/trees/6937078784ee9d99be5521180b42e6c6be4c1228,NA,dir,meetup-presentations_athens-ga
2017-12_R-Ladies_Auckland_Launch.pptx,2017-12_R-Ladies_Auckland_Launch.pptx,f19a0c487718765728d9e303810c0d9bb0a992cd,1548231,https://api.github.com/repos/rladies/meetup-presentations_auckland/contents/2017-12_R-Ladies_Auckland_Launch.pptx?ref=master,https://github.com/rladies/meetup-presentations_auckland/blob/master/2017-12_R-Ladies_Auckland_Launch.pptx,https://api.github.com/repos/rladies/meetup-presentations_auckland/git/blobs/f19a0c487718765728d9e303810c0d9bb0a992cd,https://raw.githubusercontent.com/rladies/meetup-presentations_auckland/master/2017-12_R-Ladies_Auckland_Launch.pptx,file,meetup-presentations_auckland
2017-12_tidyverse-6-auckland.pdf,2017-12_tidyverse-6-auckland.pdf,ffa577020fc491b8926b0e4027dfc6eab9733197,3148726,https://api.github.com/repos/rladies/meetup-presentations_auckland/contents/2017-12_tidyverse-6-auckland.pdf?ref=master,https://github.com/rladies/meetup-presentations_auckland/blob/master/2017-12_tidyverse-6-auckland.pdf,https://api.github.com/repos/rladies/meetup-presentations_auckland/git/blobs/ffa577020fc491b8926b0e4027dfc6eab9733197,https://raw.githubusercontent.com/rladies/meetup-presentations_auckland/master/2017-12_tidyverse-6-auckland.pdf,file,meetup-presentations_auckland
2018-03_Dive_into_dplyr,2018-03_Dive_into_dplyr,413bb3a624eee9976c57a72cebffedb2fc8c7f6e,0,https://api.github.com/repos/rladies/meetup-presentations_auckland/contents/2018-03_Dive_into_dplyr?ref=master,https://github.com/rladies/meetup-presentations_auckland/tree/master/2018-03_Dive_into_dplyr,https://api.github.com/repos/rladies/meetup-presentations_auckland/git/trees/413bb3a624eee9976c57a72cebffedb2fc8c7f6e,NA,dir,meetup-presentations_auckland
2018-03_rOpenSci.pdf,2018-03_rOpenSci.pdf,5419f61fa060df50f475d2c923c074a10a299d61,18259285,https://api.github.com/repos/rladies/meetup-presentations_auckland/contents/2018-03_rOpenSci.pdf?ref=master,https://github.com/rladies/meetup-presentations_auckland/blob/master/2018-03_rOpenSci.pdf,https://api.github.com/repos/rladies/meetup-presentations_auckland/git/blobs/5419f61fa060df50f475d2c923c074a10a299d61,https://raw.githubusercontent.com/rladies/meetup-presentations_auckland/master/2018-03_rOpenSci.pdf,file,meetup-presentations_auckland
2018-05_Harry_Potter_and_the_Rvest_of_Fanfiction.Rmd,2018-05_Harry_Potter_and_the_Rvest_of_Fanfiction.Rmd,800a80e11144e99157ebabe92c943fa70618c4b9,931,https://api.github.com/repos/rladies/meetup-presentations_auckland/contents/2018-05_Harry_Potter_and_the_Rvest_of_Fanfiction.Rmd?ref=master,https://github.com/rladies/meetup-presentations_auckland/blob/master/2018-05_Harry_Potter_and_the_Rvest_of_Fanfiction.Rmd,https://api.github.com/repos/rladies/meetup-presentations_auckland/git/blobs/800a80e11144e99157ebabe92c943fa70618c4b9,https://raw.githubusercontent.com/rladies/meetup-presentations_auckland/master/2018-05_Harry_Potter_and_the_Rvest_of_Fanfiction.Rmd,file,meetup-presentations_auckland
2018-08_Intro_to_R_Notes.Rmd,2018-08_Intro_to_R_Notes.Rmd,e307e96f95515f268f3d90fc7ea71951b96d6473,10288,https://api.github.com/repos/rladies/meetup-presentations_auckland/contents/2018-08_Intro_to_R_Notes.Rmd?ref=master,https://github.com/rladies/meetup-presentations_auckland/blob/master/2018-08_Intro_to_R_Notes.Rmd,https://api.github.com/repos/rladies/meetup-presentations_auckland/git/blobs/e307e96f95515f268f3d90fc7ea71951b96d6473,https://raw.githubusercontent.com/rladies/meetup-presentations_auckland/master/2018-08_Intro_to_R_Notes.Rmd,file,meetup-presentations_auckland
