City,tweet
Baltimore,Take your skills to the next level with #rmarkdown! Check Baltimore awesome materials! https://github.com/rladies/meetup-presentations_baltimore/blob/master/20190918_rmarkdown_dataviz.Rmd #rladies #iwd2020
Baltimore,Need to prepare a workshop on #Rmarkdown? Browse the insightful Baltimore's materials for inspiration! https://github.com/rladies/meetup-presentations_baltimore/tree/master/20190918_rmarkdown_slides #rladies #iwd2020
Barcelona,Help your future self by making reproducible reports with #Rmardown and pick Barcelona's splendid materials! https://github.com/rladies/meetup-presentations_barcelona/tree/master/20170115_rmarkdown #rladies #iwd2020
Berlin,Help your future self by making reproducible reports with #Rmardown and pick Berlin's phenomenal materials! https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-06_R_meets_Journocode_Rmarkdown #rladies #iwd2020
Irvine,Need to prepare a workshop on #Rmarkdown? Browse the intuitive Irvine's materials for inspiration! https://github.com/rladies/meetup-presentations_irvine/tree/master/R-LadiesIrvine_ggplot2_rmarkdown_11142018 #rladies #iwd2020
LA,Help your future self by making reproducible reports with #Rmardown and pick LA's epic materials! https://github.com/rladies/meetup-presentations_la/tree/master/2017-02-18-rmarkdown #rladies #iwd2020
Lancaster,"Forget about copy-pasting outputs, learn #rmarkdown and make your research reproducible! Check Lancaster amazing materials https://github.com/rladies/meetup-presentations_lancaster/tree/master/2020-02-05-rmarkdown #rladies #iwd2020"
Lausanne,Need to prepare a workshop on #Rmarkdown? Browse the insightful Lausanne's materials for inspiration! https://github.com/rladies/meetup-presentations_lausanne/tree/master/20181017_rmarkdown #rladies #iwd2020
London_ontario,Want to make reproducible reports with #rmarkdown? London_ontario chapter has some insightful materials on it! https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2018-03-06_rmarkdown #rladies #iwd2020
London_ontario,Need to prepare a workshop on #Rmarkdown? Browse the phenomenal London_ontario's materials for inspiration! https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2020-01-14_rmarkdown #rladies #iwd2020
Madrid,Take your skills to the next level with #rmarkdown! Check Madrid intuitive materials! https://github.com/rladies/meetup-presentations_madrid/tree/master/madrid_20180525_Rmarkdown #rladies #iwd2020
Mendoza,Help your future self by making reproducible reports with #Rmardown and pick Mendoza's epic materials! https://github.com/rladies/meetup-presentations_mendoza/tree/master/2019-06-18-rmarkdown #rladies #iwd2020
Montevideo,Need to prepare a workshop on #Rmarkdown? Browse the cool Montevideo's materials for inspiration! https://github.com/rladies/meetup-presentations_montevideo/tree/master/2018-06-07-rmarkdown #rladies #iwd2020
RTP,Want to make reproducible reports with #rmarkdown? RTP chapter has some magnificent materials on it! https://github.com/rladies/meetup-presentations_rtp/tree/master/2016-12-13-rmarkdown #rladies #iwd2020
RTP,Help your future self by making reproducible reports with #Rmardown and pick RTP's amazing materials! https://github.com/rladies/meetup-presentations_rtp/tree/master/2019-07-31-rmarkdown #rladies #iwd2020
Sandiego,Take your skills to the next level with #rmarkdown! Check Sandiego remarkable materials! https://github.com/rladies/meetup-presentations_sandiego/tree/master/2017-07-13_rmarkdown #rladies #iwd2020
Stockholm,"Forget about copy-pasting outputs, learn #rmarkdown and make your research reproducible! Check Stockholm awesome materials https://github.com/rladies/meetup-presentations_stockholm/blob/master/Rmarkdown.zip #rladies #iwd2020"
