City,tweet
Baltimore,Take your skills to the next level with #shiny! Check Baltimore awesome materials! https://github.com/rladies/meetup-presentations_baltimore/blob/master/20200129_shiny.md #rladies #iwd2020
Berlin,Take your skills to the next level with #shiny! Check Berlin marvelous materials! https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-11_ShinyDashboards #rladies #iwd2020
Brussels,Learn how to create a #Shiny web app in R! Check Brussels excellent materials on it! https://github.com/rladies/meetup-presentations_brussels/tree/master/01_Building_Shiny_apps_Dec17 #rladies #iwd2020
Buenosaires,Learn how to create a #Shiny web app in R! Check Buenosaires admirable materials on it! https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-08-05%20-%20Cuarto%20evento%20-%20Intro%20a%20Shiny #rladies #iwd2020
Buenosaires,Take your skills to the next level with #shiny! Check Buenosaires phenomenal materials! https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-09-30%20-%20Quinto%20evento%20-%20Taller%20de%20Shiny #rladies #iwd2020
DC,Want to build your first #Shiny app? DC chapter has some splendid materials on it! https://github.com/rladies/meetup-presentations_dc/tree/master/RiseAndShiny #rladies #iwd2020
Irvine,Need to prepare a workshop on #Shiny Apps? Browse the excellent Irvine's materials for inspiration! https://github.com/rladies/meetup-presentations_irvine/tree/master/2019-01-30_Happy-Shiny-New-Year #rladies #iwd2020
Istanbul,Check the basics of building #Shiny apps in R at Istanbul's wonderful materials! https://github.com/rladies/meetup-presentations_istanbul/blob/master/20180106_UI_Shiny.zip #rladies #iwd2020
Istanbul,Take your skills to the next level with #shiny! Check Istanbul marvelous materials! https://github.com/rladies/meetup-presentations_istanbul/blob/master/20200223_ShinyWorkshop.zip #rladies #iwd2020
Lausanne,Learn how to create a #Shiny web app in R! Check Lausanne magnificent materials on it! https://github.com/rladies/meetup-presentations_lausanne/tree/master/20180314_shiny #rladies #iwd2020
London,Check the basics of building #Shiny apps in R at London's amazing materials! https://github.com/rladies/meetup-presentations_london/tree/master/2016-09_Shiny #rladies #iwd2020
London,Learn how to create a #Shiny web app in R! Check London outstanding materials on it! https://github.com/rladies/meetup-presentations_london/tree/master/2018-07_Shiny_Dashboard_Workshop #rladies #iwd2020
London_ontario,Need to prepare a workshop on #Shiny Apps? Browse the excellent London_ontario's materials for inspiration! https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2018-04-03_Shiny #rladies #iwd2020
London_ontario,Learn how to create a #Shiny web app in R! Check London_ontario intuitive materials on it! https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2020-02-11_shiny #rladies #iwd2020
Montevideo,Take your skills to the next level with #shiny! Check Montevideo incredible materials! https://github.com/rladies/meetup-presentations_montevideo/tree/master/2019-05-29-shiny #rladies #iwd2020
Montreal,Want to build your first #Shiny app? Montreal chapter has some super materials on it! https://github.com/rladies/meetup-presentations_montreal/tree/master/20181018_shiny #rladies #iwd2020
Nashville,Want to build your first #Shiny app? Nashville chapter has some amazing materials on it! https://github.com/rladies/meetup-presentations_nashville/tree/master/2017-03-21_intro_shiny #rladies #iwd2020
Oslo,Want to build your first #Shiny app? Oslo chapter has some phenomenal materials on it! https://github.com/rladies/meetup-presentations_oslo/tree/master/shiny-workshop #rladies #iwd2020
RTP,Check the basics of building #Shiny apps in R at RTP's super materials! https://github.com/rladies/meetup-presentations_rtp/tree/master/2017-03-09-shiny #rladies #iwd2020
Sandiego,Get your hands on #Shiny dashboards! Visit the Sandiego's super materials on the topic! https://github.com/rladies/meetup-presentations_sandiego/tree/master/2017-09-20_shiny #rladies #iwd2020
Sandiego,Get your hands on #Shiny dashboards! Visit the Sandiego's awesome materials on the topic! https://github.com/rladies/meetup-presentations_sandiego/tree/master/2019-05-28_Shiny-Katie #rladies #iwd2020
Santabarbara,Learn how to create a #Shiny web app in R! Check Santabarbara incredible materials on it! https://github.com/rladies/meetup-presentations_santabarbara/tree/gh-pages/2019_10_30_shiny_basics #rladies #iwd2020
Stockholm,Learn how to create a #Shiny web app in R! Check Stockholm intuitive materials on it! https://github.com/rladies/meetup-presentations_stockholm/blob/master/Getting%20Started%20with%20Shiny.pptx #rladies #iwd2020
Stockholm,Get your hands on #Shiny dashboards! Visit the Stockholm's phenomenal materials on the topic! https://github.com/rladies/meetup-presentations_stockholm/blob/master/Getting%20Started%20with%20Shiny.zip #rladies #iwd2020
Stockholm,Check the basics of building #Shiny apps in R at Stockholm's remarkable materials! https://github.com/rladies/meetup-presentations_stockholm/blob/master/Shiny%20ada%20conference.pdf #rladies #iwd2020
Tbilisi,Learn how to create a #Shiny web app in R! Check Tbilisi excellent materials on it! https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_04_12_shiny #rladies #iwd2020
Tbilisi,Learn how to create a #Shiny web app in R! Check Tbilisi brilliant materials on it! https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_10_18_Shiny #rladies #iwd2020
