City,tweet
Ames,Are you ready to master the %>% pipe with Ames awesome materials on #tidyverse? https://github.com/rladies-ames/magic-tidying-data/tree/6339454d192592036e0f49d54a3cf9b093c7e765 #rladies #iwd2020
Auckland,Learn all you need to know about the #tidyverse! Check Auckland insightful materials! https://github.com/rladies/meetup-presentations_auckland/blob/master/2017-12_tidyverse-6-auckland.pdf #rladies #iwd2020
Baltimore,Need to prepare a workshop on #Tidyverse? Browse the splendid Baltimore's materials for inspiration! https://github.com/rladies/meetup-presentations_baltimore/blob/master/20190313_tidyverse.md #rladies #iwd2020
Boston,Need to prepare a workshop on #Tidyverse? Browse the phenomenal Boston's materials for inspiration! https://github.com/rladies/meetup-presentations_boston/blob/master/Boston_20170817_tidyeval_ppt.pdf #rladies #iwd2020
Boston,Learn all you need to know about the #tidyverse! Check Boston intuitive materials! https://github.com/rladies/meetup-presentations_boston/blob/master/tidyr_ggplot2_short.pdf #rladies #iwd2020
Charlottesville,Need to prepare a workshop on #Tidyverse? Browse the epic Charlottesville's materials for inspiration! https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2019-08-27-R_Tutorial_RMarkdown_Tidyverse%20(3).pptx #rladies #iwd2020
Charlottesville,Are you taking your first R steps? The #tidyverse will make this journey more fun! Check Charlottesville's amazing materials! https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2019-08-27_IntroTidyverse.R #rladies #iwd2020
Frankfurt,Learn all you need to know about the #tidyverse! Check Frankfurt insightful materials! https://github.com/rladies/meetup-presentations_frankfurt/tree/master/2019-05-23_meetup02_introduction-tidyverse #rladies #iwd2020
Freiburg,Master your data science skills with the #tidyverse ! Check Freiburg insightful materials https://github.com/rladies/meetup-presentations_freiburg/tree/master/2019-06-%20Data%20tranformation%20and%20introduction%20to%20tidyverse #rladies #iwd2020
Istanbul,Learn all you need to know about the #tidyverse! Check Istanbul phenomenal materials! https://github.com/rladies/meetup-presentations_istanbul/blob/master/20191012_TemelRveTidyverse.zip #rladies #iwd2020
Lancaster,Are you ready to master the %>% pipe with Lancaster intuitive materials on #tidyverse? https://github.com/rladies/meetup-presentations_lancaster/tree/master/2019-09-04-tidy-data #rladies #iwd2020
Lausanne,Need to prepare a workshop on #Tidyverse? Browse the epic Lausanne's materials for inspiration! https://github.com/rladies/meetup-presentations_lausanne/tree/master/20191203_tidyverse #rladies #iwd2020
Loughborough,Learn all you need to know about the #tidyverse! Check Loughborough cool materials! https://github.com/rladies/meetup-presentations_loughborough/tree/master/introduction_tidyverse_16-04-18 #rladies #iwd2020
Lyon,Master your data science skills with the #tidyverse ! Check Lyon magnificent materials https://github.com/rladies/meetup-presentations_lyon/tree/master/2019_04_Untidyverse_with_career_tips #rladies #iwd2020
Montevideo,Need to prepare a workshop on #Tidyverse? Browse the amazing Montevideo's materials for inspiration! https://github.com/rladies/meetup-presentations_montevideo/tree/master/2018-10-23-tidyverse #rladies #iwd2020
Oslo,Are you ready to master the %>% pipe with Oslo remarkable materials on #tidyverse? https://github.com/rladies/meetup-presentations_oslo/tree/master/data_tidying_Mo #rladies #iwd2020
Rotterdam,Are you taking your first R steps? The #tidyverse will make this journey more fun! Check Rotterdam's awesome materials! https://github.com/rladies/meetup-presentations_rotterdam/tree/master/Tidyverse%20special%20edition.%20Workshop #rladies #iwd2020
Santabarbara,Are you ready to master the %>% pipe with Santabarbara marvelous materials on #tidyverse? https://github.com/rladies/meetup-presentations_santabarbara/tree/gh-pages/2019_05_15_intro_to_tidyverse #rladies #iwd2020
